俳句,作者,作者よみがな,季語,親季語,季語よみがな,季節,詳細季節,手入力した季語,説明入力状況
朝霧の中に九段のともし哉,正岡子規,まさおかしき,,,,,,,
名月の出るやゆらめく花薄,正岡子規,まさおかしき,,,,,,,
けさりんと体のしまりや秋の立つ,正岡子規,まさおかしき,,,,,,,
宵闇や薄に月のいづる音,正岡子規,まさおかしき,,,,,,,
振袖をしぼりて洗ふ硯哉,正岡子規,まさおかしき,,,,,,,
女にも生れて見たき踊哉,正岡子規,まさおかしき,,,,,,,
萩ちるや檐に掛けたる青燈籠,正岡子規,まさおかしき,,,,,,,
西日さす地蔵の笠に蜻蛉哉,正岡子規,まさおかしき,,,,,,,
鹿聞て出あるく人も帰りけり,正岡子規,まさおかしき,,,,,,,
海原や何の苦もなく上る月,正岡子規,まさおかしき,,,,,,,
くらがりの天地にひゞく花火哉,正岡子規,まさおかしき,,,,,,,
秋の蚊や畳にそふて低く飛ぶ,正岡子規,まさおかしき,,,,,,,
哀れにも来て秋の蚊の殺さるゝ,正岡子規,まさおかしき,,,,,,,
狼の聲も聞こゆる夜寒かな,正岡子規,まさおかしき,,,,,,,
不二こえたくたびれ皃や隅田の雁,正岡子規,まさおかしき,,,,,,,
夕榮や雁一つらの西の空,正岡子規,まさおかしき,,,,,,,
片端は山にかゝるや天の川,正岡子規,まさおかしき,,,,,,,
七夕に団扇をかさん残暑哉,正岡子規,まさおかしき,,,,,,,
一日の旅おもしろや萩の原,正岡子規,まさおかしき,,,,,,,
白露や原一ぱいの星月夜,正岡子規,まさおかしき,,,,,,,
茸狩や友呼ぶこゑも秋の風,正岡子規,まさおかしき,,,,,,,
おのが荷に追はれて淋し芒賣,正岡子規,まさおかしき,,,,,,,
渋柿や行来のしげき道の端,正岡子規,まさおかしき,,,,,,,
柿の實やうれしさうにもなく烏,正岡子規,まさおかしき,,,,,,,
渋柿のとり残されてあはれ也,正岡子規,まさおかしき,,,,,,,
渋柿もまじりてともに盆の中,正岡子規,まさおかしき,,,,,,,
稲妻にひらりと桐の一葉哉,正岡子規,まさおかしき,,,,,,,
散りやすきものから吹くや秋の風,正岡子規,まさおかしき,,,,,,,
稲妻にうち消されけり三日の月,正岡子規,まさおかしき,,,,,,,
朝顔にわれ恙なきあした哉,正岡子規,まさおかしき,,,,,,,
朝顔や我筆先に花も咲け,正岡子規,まさおかしき,,,,,,,
その鐘をわれに撞かせよ秋の暮,正岡子規,まさおかしき,,,,,,,
遊ぶ子のひとり歸るや秋のくれ,正岡子規,まさおかしき,,,,,,,
魂祭ふわふわと来る秋の蝶,正岡子規,まさおかしき,,,,,,,
水流れ芒招くやされかうべ,正岡子規,まさおかしき,,,,,,,
月落ちて灯のあるかたや小夜砧,正岡子規,まさおかしき,,,,,,,
名月や角田川原に吾一人,正岡子規,まさおかしき,,,,,,,
湖やともし火消えて月一ツ,正岡子規,まさおかしき,,,,,,,
明月は瀬田から膳所へながれけり,正岡子規,まさおかしき,,,,,,,
我宿にはいりさう也昇る月,正岡子規,まさおかしき,,,,,,,
床の間の達磨にらむや秋のくれ,正岡子規,まさおかしき,,,,,,,
をかしうに出来てかゞしの哀也,正岡子規,まさおかしき,,,,,,,
送火や朦朧として佛だち,正岡子規,まさおかしき,,,,,,,
送火や灰色に舞ふ秋の風,正岡子規,まさおかしき,,,,,,,
並松はまばらまばらや三日の月,正岡子規,まさおかしき,,,,,,,
初汐や帆柱ならぶ垣の外,正岡子規,まさおかしき,,,,,,,
蒔絵なんぞ小窓の月に雁芒,正岡子規,まさおかしき,,,,,,,
順禮の夢をひやすや松の露,正岡子規,まさおかしき,,,,,,,
山もとのともし火動く夜寒哉,正岡子規,まさおかしき,,,,,,,
君が代や調子のそろふ落水,正岡子規,まさおかしき,,,,,,,
婆々ゆはく梟なけば秋の雨,正岡子規,まさおかしき,,,,,,,
名月や松の音ある一軒家,正岡子規,まさおかしき,,,,,,,
