俳句,作者,作者よみがな,季語,親季語,季語よみがな,季節,詳細季節,手入力した季語,発行年,発行月,号数
｜睦《むつ》み合ふ｜夜《よ》｜風《かぜ》や春の｜虎《も》｜落《がり》｜笛《ぶえ》,箱蔵剣,はこくらけん,虎落笛,虎落笛,もがりぶえ,huyu,三冬,,2025,4,199
｜黒《こく》｜白《びやく》の｜糞《まり》の｜階《ざは》春の鳥,箱蔵剣,はこくらけん,春の鳥,春の鳥,はるのとり,haru,三春,,2025,4,199
｜牛《ぎゆう》｜酪《らく》の消ゆる｜朝《あさ》｜餉《げ》や春の泥,箱蔵剣,はこくらけん,春の泥,春泥,しゅんでい,haru,三春,,2025,4,199
捨てらるる靴下｜被《かぶ》る春の草,箱蔵剣,はこくらけん,春の草,春の草,はるのくさ,haru,三春,,2025,4,199
｜春《はる》｜風《かぜ》の｜奏《そう》する波や島淡し,箱蔵剣,はこくらけん,春風,春の風,はるのかぜ,haru,三春,,2025,4,199
遊歩道歩きくねるや春の海,箱蔵剣,はこくらけん,春の海,春の海,はるのうみ,haru,三春,,2025,4,199
｜佐《さ》｜保《ほ》｜姫《ひめ》や岩しやぶる波｜愛《いと》ほしむ,箱蔵剣,はこくらけん,佐保姫,佐保姫,さほひめ,haru,三春,,2025,4,199
浜の音に草揺らぎけり｜望《しお》｜潮《まねき》,箱蔵剣,はこくらけん,望潮,望潮,しおまねき,haru,三春,,2025,4,199
｜踏《とう》｜青《せい》や風は岬を乗り上ぐる,箱蔵剣,はこくらけん,踏青,踏青,とうせい,haru,晩春,,2025,4,199
｜春《はる》｜風《かぜ》を枕の竹や｜揺《ゆ》りの山,箱蔵剣,はこくらけん,春風,春の風,はるのかぜ,haru,三春,,2025,4,199
ほどけゆくとんびの｜糞《まり》や春霞,箱蔵剣,はこくらけん,春霞,霞,かすみ,haru,三春,,2025,4,199
吹き出しのやうなあははや風光る,箱蔵剣,はこくらけん,風光る,風光る,かぜひかる,haru,三春,,2025,4,199
春の芝｜昼《ひる》｜餉《げ》の｜父《てて》｜御《ご》呼ばれけり,箱蔵剣,はこくらけん,春の芝,若芝,わかしば,haru,晩春,,2025,4,199
海風や子らの散りぼふ春野かな,箱蔵剣,はこくらけん,春野,春の野,はるのの,haru,三春,,2025,4,199
ドルフィンの蹴りで翔くるや春の鳥,箱蔵剣,はこくらけん,春の鳥,春の鳥,はるのとり,haru,三春,,2025,4,199
